epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9490.82,1.81586,1.36162,1.22752,0.54661,0.59876,0.56864,0.24124,1.92793,1.56127,1.31165,0.0011882,0.0011882,0.0011882
43,9712.24,1.80271,1.36414,1.23317,0.51884,0.52411,0.51639,0.22365,1.89757,1.57007,1.32368,0.0011684,0.0011684,0.0011684
44,9934.79,1.8193,1.36759,1.23572,0.54303,0.5378,0.52237,0.23034,1.89805,1.55214,1.30218,0.0011486,0.0011486,0.0011486
45,10160,1.8098,1.34721,1.22434,0.57592,0.53435,0.54753,0.24043,1.88301,1.52349,1.33101,0.0011288,0.0011288,0.0011288
46,10387.4,1.80313,1.35789,1.23397,0.56955,0.54743,0.52956,0.22133,1.94045,1.56767,1.34365,0.001109,0.001109,0.001109
47,10614.6,1.80939,1.32748,1.22541,0.55393,0.55988,0.55786,0.22891,1.95752,1.52322,1.35422,0.0010892,0.0010892,0.0010892
48,10843.3,1.80062,1.33073,1.21859,0.51405,0.58787,0.52795,0.21763,1.9395,1.58969,1.33879,0.0010694,0.0010694,0.0010694
49,11073.7,1.79449,1.31132,1.21925,0.55101,0.56299,0.53927,0.23041,1.92488,1.55648,1.31122,0.0010496,0.0010496,0.0010496
50,11296.9,1.75262,1.29723,1.20635,0.55109,0.52255,0.51546,0.22317,1.91772,1.6474,1.33134,0.0010298,0.0010298,0.0010298
51,11521.2,1.76068,1.28096,1.20588,0.4795,0.51633,0.48928,0.21629,1.93785,1.64417,1.35212,0.00101,0.00101,0.00101
52,11745.5,1.77805,1.29857,1.21366,0.59272,0.57262,0.57177,0.24112,1.94558,1.48159,1.34288,0.0009902,0.0009902,0.0009902
53,11970,1.76761,1.26569,1.21285,0.53075,0.5752,0.52843,0.21957,1.98099,1.50215,1.36838,0.0009704,0.0009704,0.0009704
54,12194.6,1.77661,1.27606,1.21727,0.56424,0.56183,0.54819,0.23855,1.9284,1.53075,1.32408,0.0009506,0.0009506,0.0009506
55,12417.3,1.75009,1.27756,1.2004,0.57973,0.55677,0.54339,0.23505,1.96096,1.51313,1.35079,0.0009308,0.0009308,0.0009308
56,12639.9,1.76518,1.26532,1.20166,0.58271,0.56299,0.54542,0.23197,1.9821,1.52591,1.35254,0.000911,0.000911,0.000911
57,12862.5,1.77058,1.28444,1.20756,0.58306,0.58787,0.56331,0.23702,1.94977,1.50438,1.35548,0.0008912,0.0008912,0.0008912
58,13086.9,1.74074,1.23159,1.18544,0.58898,0.58833,0.57814,0.24206,1.95261,1.47889,1.33296,0.0008714,0.0008714,0.0008714
